year,nivel,grupo_natural,sup_sembrada,produccion
1981,grupo_natural,Cereales,137496,118109
1981,grupo_natural,Forrajes,26345,999740
1981,grupo_natural,Frutales,5775,45700
1981,grupo_natural,Hortalizas,1757,20295
1981,grupo_natural,Legumbres secas,55305,5390
1981,grupo_natural,Oleaginosas,18,22
1981,grupo_natural,Ornamentos,262,5192
1981,grupo_natural,Tuberculos,49,1052
1981,total,TODOS,227007,1195500
1982,grupo_natural,Cereales,115619,75117
1982,grupo_natural,Forrajes,30417,1101016
1982,grupo_natural,Frutales,5389,44191
1982,grupo_natural,Hortalizas,1929,24551
1982,grupo_natural,Industriales,500,535
1982,grupo_natural,Legumbres secas,39176,2540
1982,grupo_natural,Oleaginosas,25,45
1982,grupo_natural,Ornamentos,212,2934
1982,grupo_natural,Tuberculos,85,1512
1982,total,TODOS,193352,1252441
1983,grupo_natural,Cereales,115829,181471
1983,grupo_natural,Forrajes,31717,1098689
1983,grupo_natural,Frutales,6481,39992
1983,grupo_natural,Hortalizas,1816,24740
1983,grupo_natural,Legumbres secas,40352,14365
1983,grupo_natural,Oleaginosas,7,15
1983,grupo_natural,Ornamentos,25,522
1983,grupo_natural,Tuberculos,8,96
1983,total,TODOS,196235,1359890
1984,grupo_natural,Cereales,117429,156275
1984,grupo_natural,Forrajes,32900,1179436
1984,grupo_natural,Frutales,6595,40784
1984,grupo_natural,Hortalizas,2066,25735
1984,grupo_natural,Legumbres secas,35932,11278
1984,grupo_natural,Oleaginosas,115,37
1984,grupo_natural,Tuberculos,6,50
1984,total,TODOS,195043,1413595
1985,grupo_natural,Cereales,116798,185205
1985,grupo_natural,Forrajes,34553,1181010
1985,grupo_natural,Frutales,7130,32724
1985,grupo_natural,Hortalizas,1987,26517
1985,grupo_natural,Legumbres secas,38702,8540
1985,grupo_natural,Oleaginosas,29,23
1985,grupo_natural,Ornamentos,10,15
1985,grupo_natural,Tuberculos,9,68
1985,total,TODOS,199218,1434102
1986,grupo_natural,Cereales,112251,127580
1986,grupo_natural,Forrajes,27160,817305
1986,grupo_natural,Frutales,6294,23527
1986,grupo_natural,Hortalizas,1062,12398
1986,grupo_natural,Legumbres secas,34959,6351
1986,grupo_natural,Ornamentos,10,54
1986,total,TODOS,181736,987215
1987,grupo_natural,Cereales,106620,116096
1987,grupo_natural,Forrajes,25838,592265
1987,grupo_natural,Frutales,5740,17584
1987,grupo_natural,Hortalizas,773,6512
1987,grupo_natural,Legumbres secas,39543,2339
1987,grupo_natural,Ornamentos,10,70
1987,total,TODOS,178524,734866
1988,grupo_natural,Cereales,102829,83332
1988,grupo_natural,Forrajes,23771,711363
1988,grupo_natural,Frutales,5025,16671
1988,grupo_natural,Hortalizas,1010,10624
1988,grupo_natural,Legumbres secas,38573,3352
1988,grupo_natural,Oleaginosas,8,24
1988,grupo_natural,Ornamentos,18,213
1988,grupo_natural,Tuberculos,16,352
1988,total,TODOS,171250,825931
1989,grupo_natural,Cereales,113320,110492
1989,grupo_natural,Forrajes,25050,695420
1989,grupo_natural,Frutales,4312,17373
1989,grupo_natural,Hortalizas,411,3438
1989,grupo_natural,Legumbres secas,31870,7487
1989,grupo_natural,Ornamentos,15,209
1989,grupo_natural,Tuberculos,5,50
1989,total,TODOS,174983,834469
