municipio,modalidad,y2003,y2024,cambio_ha,region
Amealco de Bonfil,Riego,7602,5525.42,-2076.58,22001
Amealco de Bonfil,Temporal,14801,9701.8,-5099.200000000001,22001
Arroyo Seco,Riego,438,400.7,-37.30000000000001,22003
Arroyo Seco,Temporal,1535,370,-1165,22003
Cadereyta de Montes,Riego,456,473.72,17.720000000000027,22004
Cadereyta de Montes,Temporal,9015,1654,-7361,22004
Colón,Riego,6563,7323.83,760.8299999999999,22005
Colón,Temporal,8735,1577,-7158,22005
Corregidora,Riego,1242,1191.5,-50.5,22006
Corregidora,Temporal,4665,3052,-1613,22006
El Marqués,Riego,5879,12710,6831,22011
El Marqués,Temporal,10769,6666,-4103,22011
Ezequiel Montes,Riego,1181,1731.73,550.73,22007
Ezequiel Montes,Temporal,2333,819,-1514,22007
Huimilpan,Riego,1376,1652,276,22008
Huimilpan,Temporal,10256,5258,-4998,22008
Jalpan de Serra,Riego,227,185.02,-41.97999999999999,22009
Jalpan de Serra,Temporal,2005,685,-1320,22009
Landa de Matamoros,Temporal,2736,627,-2109,22010
Pedro Escobedo,Riego,11643,11147.7,-495.2999999999993,22012
Pedro Escobedo,Temporal,5361,3237,-2124,22012
Peñamiller,Riego,1008,524.82,-483.17999999999995,22013
Peñamiller,Temporal,1271,295,-976,22013
Pinal de Amoles,Riego,13,33,20,22002
Pinal de Amoles,Temporal,1980,475,-1505,22002
Querétaro,Riego,2782,2268,-514,22014
Querétaro,Temporal,10311,6714,-3597,22014
San Joaquín,Riego,168,114.45,-53.55,22015
San Joaquín,Temporal,1180,302,-878,22015
San Juan del Río,Riego,7960,6713.99,-1246.0100000000002,22016
San Juan del Río,Temporal,21626,9962,-11664,22016
Tequisquiapan,Riego,4904,5555.5,651.5,22017
Tequisquiapan,Temporal,4317,3890,-427,22017
Tolimán,Riego,774,595.33,-178.66999999999996,22018
Tolimán,Temporal,763,247,-516,22018
